ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-2, 2=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,"BG17) Plan addressing female-driven innovation and women-owned businesses / Qualitative rating 0-1, 1=best",BG18) Internet access gender gap / Difference in percentage points,BG19) Mobile phone access gender gap / Difference in percentage points,BG20) Internet users (percent of population) / % of population,BG21) Male internet users / % of male population,BG22) Female internet users / % of female population,BG23) Male mobile phone subscribers / % of male population,BG24) Female mobile phone subscribers / % of female population,BG25) Total fixed line broadband subscribers / Number of subscriptions
PE,Peru,28.17715664,7.182285608,120.9849191,40.90909091,13.69863014,4529.431132,18025.53358,47.84799172,11190.55453,14995.35181,43.75429024,33080.16443,82.89,73.94,52.24,2,2,0.314090081,96.67689134,89.2,92.67409201,1.849462365,1.666735188,3.020788529,87.0872,2907.5,6116.36,2,2,1,2,62.26415094,2,67.9245283,81.13207547,41,37.73584906,94.17367,9,3,1,2,75.47169811,43.39622642,35.8490566,26.41509434,72.54901961,1,1,0,0,2,2,1,2,1,1,2,214.27,31.838,79.254,5970,43.8,0.9,95.01103995,1.256360324,37.08390904,1.986,6.486461251,37,6.2,0.6461,13.036965,18.73726,0,-18,-10,48.72763146,62,44,83,73,2310217
PH,Philippines,39.1,3.239947468,110.3956258,-12.28070175,1.204819277,15675.32404,15231.82538,48.59617222,6457.586781,11681.8547,58.63324442,43519.03538,99,93,80,2,2,0.19062506,97.67912989,80.08820395,83.90447439,1.94495143,2.329104097,6.498349426,31.2546,5008.82,4312.88,2,1,1,2,50,2,80,98,40,26,96.61803,9.3,1,1,2,50,54,42,40,43.75,3,2,0,1,2,2,1,2,1,1,0,313.26,104.918,44.145,3660,44.4,1.6,88.3,5.909376847,55.51769,2.512,6.707399627,34,6,0.6512,44.478808,57.771325,0,7,-1,55.5,50,57,84,83,3399291
PL,Poland,81.87800291,18.47838992,130,7.894736842,2.272727273,16203.05008,46709.11524,26.84291145,9777.043533,24796.53199,36.21326004,83286.59054,100,100,100,2,2,2.352818153,100,100,92.73994334,0.124908071,0.555787243,1.748463126,93.3134,2456.32,2282.56,2,3,2,2,74,3,56,92,78,40,99.78742,11.9,3,3,2,30,40,20,26,69.3877551,3,2,0,1,2,2,1,2,1,1,2,524.59,38.252,60.48,12710,30.8,0,100,0.522848479,100,1.727,6.674253035,60,7.2,0.7926,27.922152,10.671009,0,-6,-2,75.98536595,82,76,90,88,7053333
PT,Portugal,76.93497146,34.60036714,113.8883699,9.589041096,10.22727273,29836.41353,53175.04798,23.41152876,39711.71743,73737.45047,13.64562473,52867.99241,99.88,99.5,98.9,2,2,0.969932105,100,100,98.16689253,0.545137679,0.373548645,1.568550121,143.5837,3412.72,2748.14,2,2,2,2,60.78431373,3,68.62745098,100,68,39.21568627,95.42811,8.9,3,0,2,35.29411765,58.82352941,41.17647059,29.41176471,80,3,2,1,0,2,2,1,2,1,1,2,218.03,10.31,64.606,19820,35.5,0.3,100,27.15809893,100,1.318,7.837418301,63,6.8,0.8031,6.930762,3.373672,0,-7,-9,73.79121395,80,73,97,88,3574047
QA,Qatar,95.819433,9.703430305,130,2.617230098,6.096555233,16817.82043,26791.56705,17.62431256,16631.548,48944.60402,30.18200031,81713.61115,100,99.7,99.5,2,2,0,100,98.50448967,99.73784448,0.080973554,0.239035889,1.349559234,379.9877,5626.58,9704.5,2,1,2,2,30.18867925,3,60.37735849,73.58490566,62,26.41509434,97.75709,9.8,3,4,2,32.0754717,77.35849057,37.73584906,28.30188679,58.33333333,4,2,1,1,2,2,1,2,1,1,2,166.9286,2.639,99.078,61070,41.1,0,99.98621139,26.52519894,100,1.869,3.191293184,63,6.683382867,0.7132,2.10897,0.182398,0,-3.111111111,-4.777777778,94.29111815,94.1,91.7,93.77777778,89,256094
RO,Romania,76.45329356,24.28947444,114.5873742,13.04347826,0,77560.42237,101837.2295,22.05374812,15942.14438,40167.40936,31.93182683,169176.9767,99.99,99.96,83.2,2,2,1.524467707,100,100,96.1142868,0.148502567,0.992833696,0.831614377,83.6386,2873.58,3342.64,2,2,1,2,66.66666667,2,64.70588235,94.11764706,69,39.21568627,98.75703,10.8,3,2,2,66.66666667,47.05882353,33.33333333,27.45098039,84,2,2,0,0,2,2,1,2,1,1,2,211.88,19.679,54.909,9970,35.9,1.9,100,0,78.30968616,1.596,6.43942577,48,6.4,0.6671,11.236186,8.136548,0,-9,0,63.74728218,78,69,89,89,4780000
RU,Russia,76.27521027,21.4409617,130,5.479452055,1.052631579,37892.95399,36567.20337,20.91433624,8081.446618,15876.17241,47.21699561,53401.02761,91,77,62,2,2,1.632308833,100,100,95.13224174,0.445679095,0.426574542,0.445679095,69.6,2546.64,2485.34,2,3,2,2,62,3,74,92,71,32,99.71957,12,3,1,2,40,40,30,30,56,2,2,0,0,0,2,1,2,1,1,2,1577.524146,147.031,74.174,9230,37.7,0,100,0.884167284,80,3.16,3.172829132,29,5.189012238,0.7969,102.258256,41.181576,0,-4,-1,76.00813853,77,73,96,95,30872788
RW,Rwanda,39.7,0.178401654,81.39,50,25,6196.039117,5628.865874,51.18082954,1033.333333,4200,72.93935949,7981.534395,99.92,93.37,96.6,2,1,0.819000819,69.35209853,37.19270362,61.98836528,4.008670979,14.9091173,140.3014799,26.1295,3687.06,3357.72,1,3,1,1,46,2,62,86,37,22,73.2,3.8,3,1,2,38,50,40,32,52.63157895,3,1,1,1,2,1,1,2,1,1,2,9.1367,12.21,17.125,720,45.1,20.2,42.7,0,41.3,2.14,3.185457516,55,4.75236868,0.459,1.478216,10.40455,0,-5,-11,20,15,10,55,44,21780
SA,Saudi Arabia,90.99999799,7.585997455,122.0799835,0,1.01010101,13871.72975,28139.02348,35.44727182,12479.88075,19491.68817,49.87750928,72544.33559,99.42,98,90,2,2,0.305716906,99.78408872,97.56243304,96.61151557,0.796812749,0.876026594,1.274900398,233.4716,3838.32,6529.12,2,2,2,2,44.23076923,3,67.30769231,76.92307692,69,34.61538462,94.84237,9.6,2,1,2,57.69230769,44.23076923,28.84615385,42.30769231,47.72727273,3,2,1,0,2,2,1,2,1,1,2,686.7384,32.71,83.538,20080,45.9,0,99.42022595,4.891470498,80,2.417,1.934990663,49,6.4,0.7119,20.813695,11.344279,0,0,-1,80.07575862,85,85,100,99,2498692
SN,Senegal,19.92784882,0.705305999,99.41831103,5.263157895,11.26760563,3085.825662,10120.1364,73.34677983,4710,9410,67.56526042,4969.718287,92,50,21.6,2,1,0.630914826,90,43.49286473,69.13485035,2.170021854,11.7820914,32.33332562,62.4,3943.81,9900.5,2,2,0,1,26,2,70,72,30,28,55.62485,2.8,3,3,2,28,50,38,28,55.26315789,3,2,1,0,1,0,1,1,1,0,2,16.3748,15.85,46.74,950,40.3,12.8,65.23029976,1.892744479,83.15128,1.849,6.14729225,45,5.68,0.3486,3.647939,11.941546,0,-2,-8,25.66476804,40,38,79,71,111795
SL,Sierra Leone,10.66798221,0,84.89871136,35.71428571,20.93023256,8261.75927,16562.17543,54.37165275,4513.798154,4672.416228,73.28912614,916.3324886,90.87038462,40.02,0,0,2,0,18.57,20.19771572,26.04336085,7.328613146,13.19639779,38.2362425,48,4358.55,5764.887368,2,1,1,1,44,1,62,86,16,14,48.4319,3.3,0,1,0,44,42,38,28,65,1,0,0,1,0,0,0,1,0,1,2,3.7388,7.557,41.636,510,34,16.7,19.52,1.323276432,3.02843,1.74,4.663585434,30,5.043627734,0.2717,0.160188,6.431914,0,-5,-9,11.77318438,19,14,52,43,0
SG,Singapore,91.05969931,25.75652794,130,2.325581395,1.052631579,170851.2268,132179.8549,20.59491697,31678.72386,75964.78183,32.08895256,958635.1106,100,100,100,2,2,10.69080413,100,100,98.92411623,0.159358655,0.334356418,0.795199714,344.0407,3702.94,3025.9,2,2,2,2,50,3,69.23076923,92.30769231,90,21.15384615,97.2,11.6,3,2,2,50,53.84615385,21.15384615,19.23076923,44.44444444,2,2,0,0,2,2,1,2,1,1,2,323.9,5.6123,100,54530,40.1,0,100,44.54501719,100,1.382,6.322082166,84,8.6,0.8812,4.699204,0.997302,0,-2,-1,84.44953878,88,86,96,95,1470400
ZA,South Africa,55.85105307,2.994437873,130,6.818181818,-3.75,8196.227089,12739.8308,42.33788184,8254.178023,20135.63368,37.7949155,17414.00459,99.97,98.6,80,2,2,1.23419786,84.2,84.2,93.85854264,1.64082883,1.619272505,2.734714717,82.5549,3362.13,2256.64,1,2,1,2,38,3,70,72,54,24,94.59794,10.3,3,3,2,50,48,30,32,55.26315789,4,2,1,1,2,2,1,2,1,1,2,349.693,56.717,65.822,5430,63,6.2,84.2,1.939453779,61.56833328,2.328,7.238235294,43,5.9,0.6618,28.58029,26.398617,1,-3,3,54,47,44,77,80,1698360
KR,South Korea,99.89615394,41.57512428,124.8645076,5.882352941,1.030927835,81637.87962,122474.313,12.98459475,16521.18722,42816.99084,47.20792499,53307.73994,99.9,99.9,99.9,2,2,0.39229532,100,100,97.06212796,0.987486515,0.467764061,1.481229773,361.9822,3685.34,2916.82,2,2,2,2,62.74509804,3,56.8627451,82.35294118,95.5,25.49019608,100,12.2,3,1,2,45.09803922,39.21568627,29.41176471,15.68627451,47.91666667,4,2,1,1,2,2,1,2,1,1,2,1530,50.982,82.7,28380,31.6,0.1,100,2.15762426,100,1.823,7.996265173,54,7.3,0.901,43.274132,7.229801,1,-5,-1,95.09714917,90,85,98,97,21195918
ES,Spain,83.53050115,31.22446341,114,5.434782609,1.052631579,76468.14373,85886.74063,29.50159283,60877.22387,71346.88669,19.69294371,115398.6296,99.8,99.6,97,2,2,1.078748652,100,100,97.69117792,0.298514122,0.597495949,1.198036674,196.8555,2868.96,3000.7,2,1,2,2,46,3,62,92,80,44,98.25051,9.8,3,3,2,60,52,20,20,63.26530612,4,2,1,1,2,2,1,2,1,1,2,1314.1,46.35,80.028,27180,36.2,0.6,100,7.335490831,100,1.678,8.0821662,57,7.2,0.8415,37.865104,8.1995,1,-5,-1,84.6022457,97,92,96,95,14473888
LK,Sri Lanka,21.11,5.846188879,130,48.38709677,22.05882353,8201.91111,20291.80839,43.57865249,10053.43408,17567.77769,41.40493463,23068.12345,99.72,88,48,2,1,0.478927203,100,100,89.20602628,0.48845032,0.28072414,1.224815626,35.9502,2856.97,4900.7,2,3,2,1,28,2,54,90,52,36,92.61417,10.9,1,2,2,56,48,50,34,47.72727273,0,0,0,0,1,0,1,1,1,0,2,87.3572,20.88,18.4,3840,39.8,0.1,100,3.352490421,17.8044562,1.954,6.480532213,38,5.5,0.5751,6.087164,14.723652,0,-15,-15,32.05100274,46,31,83,68,1220504
SD,Sudan,33.61,0.076682572,70.6681119,53.63636364,15.70346417,8469.346789,16656.28198,47.15221838,5597.309357,8962.379215,88.06824721,2082.823531,89.7,45.99,35,0,0,0.357781753,71.01413997,31.4202654,0,0.943016837,1.040127831,7.544134697,53.8055,3652.22,5008,2,1,1,1,46,2,64,72,15,20,58.60132,3.5,1,1,2,46,52,42,24,65.11627907,0,0,0,0,0,0,1,0,0,0,2,123.0534,27.95,34.37,2380,35.4,4,45.02868009,1.788908766,4,3.155,2.14799253,16,3.625173077,0.2394,10.886813,30.288728,0,-9.24,-8.2,28,16.9,11,69.84,61.64,31082
SE,Sweden,93,38.37,130,3.225806452,-1.020408163,59688.27202,79882.4802,23.63392476,13316.62883,39443.12786,43.10335015,512007.8149,100,100,100,2,2,10.09010463,100,100,98.14396619,0.130787401,0.283949822,0.9849092,283.0773,2757.81,2143.66,2,3,2,2,58,3,54,92,94.6,42,100,12.3,3,2,2,44,52,36,26,53.06122449,3,2,0,1,2,2,1,2,1,1,2,535.82,9.9107,86.111,52590,29.2,0.3,100,25.22526159,100,1.502,9.394257703,84,8.4,0.8882,9.169705,0.682147,0,-3,1,96.40964528,96,93,97,98,3735884
CH,Switzerland,89.83019949,45.42234225,130,3.260869565,5.617977528,52896.14142,90895.87243,22.21405138,18177.27417,46328.62278,30.51483621,267409.0553,100,100,99,2,2,7.078476712,100,100,99.89785021,0.134632997,0.451008553,0.680728666,443.5657,4458.59,3368.5,2,3,2,2,68,3,66,84,96.43,24,100,13.4,3,2,2,54,48,28,26,59.57446809,3,2,0,1,2,2,1,2,1,1,2,679.07,8.4764,74.048,80560,32.3,0,100,0,100,1.407,9.027894491,85,8.3,0.852,7.302714,1.076763,0,-3,-5,93.71386591,95,92,94,89,3850000
TW,Taiwan,89.90000169,24.18292443,121.8016278,4.444444444,3.333333333,46579.75965,82211.22759,13.95037054,15392.57113,40387.6432,26.73786427,714832.0477,100,100,99.6,2,1,0.848500276,99,99,96.13351557,0.319926623,1.565106709,0.545060172,230.5547,2715.69,6289.06,2,3,2,2,52,3,52,96,91.66393821,24,100,10.7,3,1,2,44,50,30,30,45.65217391,3,2,1,0,2,2,1,2,1,1,2,572.58,23.571,80,23287,33.6,0,99,7.212252344,100,1.736,7.730275444,63,7.8,0.774328571,20.601364,2.803945,0,-4,-3,79.74518686,94,90,93,90,5713568
TZ,Tanzania,8.470793179,3.224858467,69.71531452,113.3333333,19.35483871,8935.566559,7239.263073,52.57774179,4994.173761,9070.341869,49.21948786,1687.340596,95,85,13,0,2,0.348979236,65.3,16.75413536,70.57449926,2.95819998,5.520199444,24.84887983,28.6876,2619.93,4327.6,2,3,1,2,38.88888889,2,64.81481481,81.48148148,27,18.51851852,80.3595,5.8,2,1,2,50,53.7037037,46.2962963,35.18518519,63.63636364,1,0,0,1,2,1,1,2,1,1,2,52.1166,57.31,33.053,910,37.8,15.4,32.8,0.523468854,12.42226569,1.837,5.466176471,36,5.049028846,0.3929,2.895662,52.259811,0,-17,-12,13,32,15,74,62,1848167
TH,Thailand,64.37980546,11.88918842,130,-1.851851852,1.162790698,25266.49386,48821.2771,18.32967387,9858.890364,15433.88384,33.38408313,48297.97235,98,98,98,2,2,0.434543295,100,100,89.99356518,0.437984201,1.276426519,3.802210538,95.7362,3391.34,2994.94,2,1,1,2,52.94117647,3,60.78431373,96.07843137,68,39.21568627,93.98302,7.9,1,0,0,66.66666667,62.74509804,49.01960784,27.45098039,60.86956522,3,2,0,1,2,2,1,1,0,1,2,455.46,69.038,52.867,5960,36,0,100,1.593325415,96.70260782,2.259,4.633613445,37,6.6,0.6543,29.078158,39.068451,0,1,-1,52.89192934,53,54,87,86,8208000
TN,Tunisia,44.54192763,6.952620276,124.2969315,11.11111111,10.38961039,2273.742453,6245.604203,51.86773325,4784.463268,9578.566447,36.44152669,33592.5796,99,99,87,2,1,0.867302689,100,100,83.20587399,1.417101761,1.026702829,1.487956849,63.1991,3416.58,3192.72,2,2,1,2,50.94339623,2,62.26415094,86.79245283,47,13.20754717,81.05419,7.1,3,3,2,39.62264151,47.16981132,20.75471698,18.86792453,40.54054054,2,2,0,0,1,2,0,0,0,0,2,39.158,11.53,68.642,3500,35.8,0.4,100,3.469210755,43.08272214,1.998,6.324883287,42,5.085410839,0.6254,5.472618,5.902602,0,-6,-8,55.5,60,54,85,77,801785
TR,Turkey,80.74287812,14.76859502,96.35290201,15.27777778,0,3981.147561,14784.02464,33.88355401,9521.200351,19131.28998,35.72649916,66322.79981,99.84,97.38,86.52,2,2,0.247693356,100,100,89.12161535,0.421326233,0.827300631,0.842652466,102.7561,3475.06,4339.08,2,2,2,2,72.54901961,3,72.54901961,94.11764706,62,43.1372549,95.6881,7.9,2,3,2,52.94117647,66.66666667,29.41176471,9.803921569,64,4,2,1,1,1,1,1,2,1,1,2,848.3768,80.745,74.423,10930,41.9,0,100,0.619233389,86,2.898,4.876540616,40,5.9,0.7112,46.19672,33.425342,0,-11,0,64.68461768,83,72,91,91,11924905
AE,UAE,96.93751753,13.99826659,130,-1.052631579,0,9708.807258,29070.73412,22.76044811,15441.63578,35871.36174,55.63480392,140772.6555,100,100,99.64,2,2,2.127659574,100,100,96.93959966,0.250513335,0.717642176,0.57618067,313.2,5092.48,7293.06,2,0,2,2,35.29411765,3,54.90196078,88.23529412,87,43.1372549,92.98637,9.5,3,2,2,54.90196078,64.70588235,39.21568627,27.45098039,48.93617021,3,2,0,1,0,2,1,1,1,0,2,382.523,9.4,86.087,39130,37.5,0,100,19.14893617,89.24477748,1.818,2.688141923,71,7.4,0.8295,8.51542,0.751551,0,1,0,94.81992254,94,95,100,100,1297585
UG,Uganda,8.9,0.34007219,58.20615087,18.51851852,15.87301587,6788.545582,4901.514582,41.14970836,2814.071877,6479.149503,74.7002091,5507.28531,93,65,17,2,1,0.233301449,23.3,18.63165592,34.87018188,11.0765754,13.9871491,11.0765754,26.4,3561.52,5764.887368,2,3,2,2,32,3,68,76,43,12,73.80984,5.7,3,3,0,56,52,42,20,64.28571429,3,1,1,1,2,1,1,2,1,1,2,27.6989,42.863,23.196,600,42.8,13.2,19.71452501,0,12.42019243,2.168,5.09353408,26,5.362052885,0.4055,7.645197,32.677571,1,-5,-10,21.87617046,32,27,73,63,145765
UA,Ukraine,54.6,12.55426783,130,6.060606061,-1.123595506,34782.25848,33769.33528,28.89428313,7520.796553,15151.04507,42.43553887,80627.26848,99.9,90,43,2,2,1.652502361,100,100,86.01099515,0.849512227,1.559630339,1.51024396,20.1692,3713.9,2108.4,2,3,2,2,54.71698113,3,64.1509434,88.67924528,60,43.39622642,99.76411,11.3,3,1,2,37.73584906,49.05660377,45.28301887,39.62264151,48.07692308,2,2,0,0,1,2,1,1,1,0,2,112.15,42.36,70.13,2390,25,0,100,0.236071766,94.11725,3.113,5.694817927,30,4.6,0.6165,19.678089,24.946284,0,-4,1,53,70,66,88,89,5239743
GB,United Kingdom,91.25,39.30975361,119.6309487,1.123595506,2.173913043,12642.83212,41841.85987,33.97462507,10512.59688,31754.79631,36.00649531,438290.4381,99.8,99.8,99.3,2,2,1.51098486,100,100,98.72478444,0.457260216,0.451230958,1.028835486,235.5042,2757.54,2497.44,2,1,2,2,66.03773585,3,56.60377358,79.24528302,95.1,43.39622642,100,13.3,3,2,2,60.37735849,49.05660377,28.30188679,22.64150943,72,4,2,1,1,2,2,1,2,1,1,0,2630.7,66.182,83.096,40530,33.2,0.1,100,16.46973497,100,1.876,8.531862745,82,7.9,0.8999,60.273385,4.837758,0,-1,-2,94.77580063,90,89,94,92,26015818
US,United States,84.84725799,33.85261104,122.0124685,1.111111111,1.063829787,26068.39204,71531.72198,37.65210421,12769.32403,32100.02394,50.21172407,128709.6947,99.9,99.9,99.8,2,2,3.277352879,100,100,99.55808,0.448120822,1.416624543,1.029483474,532.8,2574.93,1481.32,2,3,2,2,66,3,68,88,87,30,100,13.2,3,3,2,42,30,16,28,51.02040816,2,2,0,0,2,0,1,2,1,1,0,19390.604,326.483,81.961,58270,41.5,1,100,5.390786044,100,2.321,7.97840803,75,8.2,0.8769,0.057485,0.04893,0,-1,-1,76.17673698,91,90,95,94,109838000
UY,Uruguay,61.8,27.4817097,130,2.564102564,1.098901099,8543.926279,34186.95348,33.16723341,13834.03765,24911.64279,43.58511852,96617.13714,100,95,88,2,0,0,99.8,97.60528487,96.30643192,0.274401684,0.791979317,0.83755455,139.2431,4111.28,9821.34,2,3,2,2,50.98039216,3,74.50980392,88.23529412,59,35.29411765,98.4421,8.6,3,2,2,45.09803922,66.66666667,39.21568627,15.68627451,58.69565217,3,2,0,1,2,2,0,1,1,0,2,59.1802,3.439,95.24,15250,39.7,0,99.69553156,8.723466124,100,1.761,8.115779645,70,5.787314704,0.7858,2.238991,1.20508,0,-2,-1,66.4,80,78,92,91,949974
VE,Venezuela,34,8.162468945,76.59767086,9.433962264,14.49275362,1031.687162,2953.10117,97.36868066,3325.532071,4232.642531,91.93715308,19033.35423,97.10142857,90.64,67.79,2,0,0,99,98.08690809,95.59994988,n/a,1.279051328,2.560391589,36,3970.42,5282.54,2,2,1,2,46,2,74,90,40,26,97.12709,9.4,1,0,0,78,42,50,42,78.57142857,2,2,0,0,0,0,1,1,0,1,2,329.1,31.33,89.086,12780,46.9,7.1,98.89209993,5.426109161,14.58470821,2.642,3.866690009,18,3.6,0.5287,18.254349,13.264506,0,-5,-10,60,58,53,79,69,2610118
VN,Vietnam,25.898507,11.79594058,125.6177267,19.14893617,7.407407407,31906.11114,29541.11849,12.70855138,7734.216751,14283.05574,33.19134446,90887.58784,95,95,95,2,0,0.104667106,100,98.14777656,68.68179558,1.730421433,1.830417884,0.494383866,16.56,3386.04,3300.18,2,3,2,2,54,3,62,100,50,46,94.51427,8,3,0,2,62,60,62,50,56,1,0,0,1,2,2,1,2,1,1,2,220.48,95.541,34.921,2170,35.3,0.4,98.8,0.628002638,32.23052016,1.905,3.075046685,35,5.8,0.5931,49.063762,45.380438,0,-9,-6,46.5,56,47,87,81,11269936
ZM,Zambia,14.334876,0.210083812,78.6149339,32.14285714,4.918032787,10884.37388,11047.26158,52.90290256,4908.422247,5740.464536,83.17379644,3792.862609,93,53,43.41,2,2,0.584795322,67.3,6.467421909,73.17332873,9.987594821,12.14785677,24.241735,36,3642.02,5764.887368,2,1,1,1,31.48148148,1,59.25925926,79.62962963,24,14.81481481,85.11726,6.9,3,1,2,38.88888889,53.7037037,44.44444444,16.66666667,56.75675676,1,0,0,1,1,0,1,2,1,1,2,25.7093,17.1,42.976,1300,57.1,29.5,32.61083067,0,6.953020134,1.822,5.680228758,37,4.9520625,0.4111,3.167934,13.549398,1,-9,-3,25.50657885,37,28,64,61,35912
G00,All countries,52.801,13.916,107.086,26.538,9.719,18586.803,30027.822,39.512,10026.225,20545.4,50.772,87557.743,96.309,85.59,67.4,1.68,1.39,1.768,89.839,75.425,81.985,2.431,4.852,22.406,137.323,3734.676,4555.629,1.98,1.88,1.51,1.71,48.184,2.4,63.58,85.629,55.119,30.644,85.008,8.386,2.47,1.69,1.66,47.472,50.733,35.717,27.784,58.502,2.19,1.33,0.39,0.47,1.52,1.51,0.92,1.57,0.83,0.74,1.81,775.473,69.915,62.685,14963.37,38.645,4.688,81.594,6.422,59.919,2.025,5.915,46.11,6.004,0.604,29.561,36.625,0.22,-6.252,-5.28,53.908,61.089,54.947,84.232,78.953,9709843.92
G01,Africa,22.84,1.279,84.705,50.946,15.257,7536.439,11645.09,53.921,5022.931,7657.116,67.079,11815.151,91.932,64.994,33.554,1.161,0.774,0.7,69.169,33.363,59.684,6.023,12.107,66.525,56.155,4247.15,5965.87,1.935,1.484,0.968,1.387,43.058,1.71,64.998,79.925,29.137,23.693,63.953,5.126,2,1.516,1.419,43.982,54.964,39.479,29.379,60.074,1.323,0.581,0.258,0.484,1.258,1.065,0.903,1.097,0.645,0.452,1.806,66.338,36.134,43.341,1769.677,42.174,13.691,47.837,1.289,24.899,2.176,4.744,34.226,4.772,0.37,8.766,26.772,0.194,-9.177,-8.368,24.424,33.861,24.99,72.215,63.848,516666.226
G02,Asia,53.083,12.922,115.307,34.461,17.258,32887.75,39322.822,30.6,10910.969,22195.515,49.193,117132.868,97.32,90.547,77.828,1.905,1.381,1.358,97.602,87.412,83.921,0.973,2.073,3.602,122.879,3507.673,4308.646,2,2,1.619,1.762,46.607,2.524,62.504,88.998,58.798,31.66,88.886,8.681,2.476,1.333,1.619,52.077,52.149,34.771,27.051,53.313,2.286,1.381,0.429,0.476,1.81,1.762,0.952,1.667,0.857,0.81,1.762,1285.71,194.699,55.388,12298.905,35.76,0.8,91.289,4.672,62.438,2.022,5.596,42.81,6.152,0.632,81.19,112.716,0.429,-6.5,-7.762,51.979,59.762,53.381,87.905,80.143,25177171.14
G03,Central Asia,77.439,13.264,118.662,-1.333,2.234,14706.42,16869.139,36.407,9298.143,16982.871,45.765,49907.898,96.55,82.15,73.25,2,2,0.521,100,98.149,87.637,0.281,1.096,0.961,56.845,4166.74,5520.24,2,2.5,1.5,1.5,38.889,2.5,62.963,94.444,67.5,29.63,93.48,10.25,3,2.5,2,16.667,48.148,27.778,16.667,32.653,3,2,0.5,0.5,2,2,1,1.5,1,0.5,2,309.543,49.682,63.794,6645,32.85,0,99.526,0.678,66.631,2.207,2.754,30.5,4.7,0.684,24.555,24.394,0.5,1,-2,68.422,67,68,92.5,90.5,6315634.5
